gender,nationality,opt1_loweffort,opt2_lowability,opt3_difficulttask,opt4_badluck
male,American,0.29933333333333334,0.2766,0.15153333333333333,0.27266666666666667
male,Chinese,0.2997666666666667,0.2757,0.1507,0.2740666666666667
male,Latino/Latina,0.30013333333333336,0.2776,0.1501,0.27213333333333334
male,Filipino/Filipina,0.3015333333333334,0.2762,0.14913333333333334,0.2737
male,Korean,0.3000333333333334,0.27563333333333334,0.14876666666666669,0.27536666666666665
male,Vietnamese,0.3014,0.27663333333333334,0.1494,0.2723
male,African,0.3001,0.27686666666666665,0.14733333333333334,0.2749
male,Middle Eastern,0.3017,0.27663333333333334,0.14783333333333334,0.27373333333333333
male,European,0.2995,0.2758666666666667,0.15043333333333334,0.2744666666666667
male,English,0.2987666666666666,0.2760666666666667,0.15153333333333333,0.2738333333333334
male,South Asian,0.30293333333333333,0.27666666666666667,0.1467,0.27343333333333336
male,South East Asian,0.3011666666666667,0.2755333333333333,0.14893333333333333,0.2730333333333333
male,Australian,0.30079999999999996,0.2769666666666667,0.14880000000000002,0.27363333333333334
female,American,0.3029,0.2701,0.15726666666666667,0.27016666666666667
female,Chinese,0.30483333333333335,0.27076666666666666,0.15196666666666667,0.2733
female,Latino/Latina,0.30263333333333337,0.2705666666666667,0.1525,0.2746
female,Filipino/Filipina,0.3054,0.2722666666666667,0.15163333333333334,0.27133333333333337
female,Korean,0.3021666666666667,0.26926666666666665,0.15316666666666667,0.27516666666666667
female,Vietnamese,0.3042666666666667,0.2728,0.15183333333333335,0.27163333333333334
female,African,0.305,0.2722,0.15276666666666666,0.26986666666666664
female,Middle Eastern,0.3040333333333334,0.2726,0.15083333333333335,0.2727333333333333
female,European,0.30346666666666666,0.27013333333333334,0.15426666666666666,0.2718666666666667
female,English,0.3009,0.2718666666666667,0.15583333333333332,0.27236666666666665
female,South Asian,0.3045333333333333,0.27163333333333334,0.15233333333333335,0.2715333333333333
female,South East Asian,0.3055333333333333,0.2727,0.15153333333333333,0.27053333333333335
female,Australian,0.3038666666666667,0.2704333333333333,0.154,0.2719333333333333
