nationality,opt4_badluck,opt2_lowability,opt3_difficulttask,opt1_loweffort
African,0.27238333333333337,0.27453333333333335,0.15005,0.30255
American,0.27141666666666664,0.27335,0.1544,0.3011166666666667
Australian,0.2727833333333333,0.2737,0.1514,0.30233333333333334
Chinese,0.27368333333333333,0.27323333333333333,0.15133333333333332,0.3023
English,0.2731,0.27396666666666664,0.15368333333333334,0.29983333333333334
European,0.27316666666666667,0.273,0.15234999999999999,0.3014833333333334
Filipino/Filipina,0.27251666666666663,0.27423333333333333,0.15038333333333334,0.30346666666666666
Korean,0.27526666666666666,0.27245,0.15096666666666667,0.3011
Latino/Latina,0.2733666666666667,0.2740833333333333,0.1513,0.30138333333333334
Middle Eastern,0.27323333333333333,0.2746166666666667,0.14933333333333335,0.3028666666666667
South Asian,0.27248333333333336,0.27415,0.1495166666666667,0.30373333333333336
South East Asian,0.2717833333333333,0.2741166666666667,0.15023333333333333,0.30335
Vietnamese,0.2719666666666667,0.27471666666666666,0.15061666666666668,0.30283333333333334
