gender,nationality,opt1_higheffort,opt2_highability,opt3_easytask,opt4_goodluck
male,American,0.2549,0.2712,0.1861,0.2886666666666666
male,Chinese,0.2557666666666667,0.2712333333333333,0.18433333333333335,0.28856666666666664
male,Latino/Latina,0.2557,0.2729333333333333,0.18396666666666667,0.2880333333333333
male,Filipino/Filipina,0.2544666666666667,0.2711,0.18353333333333335,0.29123333333333334
male,Korean,0.25479999999999997,0.2718666666666667,0.18286666666666668,0.29103333333333337
male,Vietnamese,0.25589999999999996,0.2721,0.18253333333333333,0.28933333333333333
male,African,0.25556666666666666,0.2722666666666667,0.182,0.29003333333333337
male,Middle Eastern,0.2558666666666667,0.2724,0.18289999999999998,0.28896666666666665
male,European,0.2544666666666667,0.2704333333333333,0.18493333333333334,0.2905666666666667
male,English,0.25393333333333334,0.27066666666666667,0.18516666666666665,0.2897666666666667
male,South Asian,0.25606666666666666,0.2722,0.18280000000000002,0.2891666666666667
male,South East Asian,0.2557666666666667,0.2724,0.18283333333333335,0.2893
male,Australian,0.2554,0.27099999999999996,0.1837,0.28973333333333334
female,American,0.2572333333333333,0.26253333333333334,0.1911,0.2891666666666667
female,Chinese,0.25806666666666667,0.26393333333333335,0.1848,0.2928
female,Latino/Latina,0.25853333333333334,0.2644,0.18593333333333334,0.2906666666666667
female,Filipino/Filipina,0.2585,0.26503333333333334,0.1859,0.2908
female,Korean,0.25603333333333333,0.2622,0.18656666666666666,0.29469999999999996
female,Vietnamese,0.25806666666666667,0.26503333333333334,0.1844,0.2924333333333333
female,African,0.2574,0.26449999999999996,0.18646666666666667,0.29196666666666665
female,Middle Eastern,0.2572,0.26449999999999996,0.18486666666666668,0.2931333333333333
female,European,0.2569666666666667,0.26316666666666666,0.18813333333333332,0.2915333333333333
female,English,0.2561,0.2633333333333333,0.1898,0.2907666666666667
female,South Asian,0.258,0.2648666666666667,0.18516666666666665,0.2916333333333333
female,South East Asian,0.25806666666666667,0.26513333333333333,0.185,0.2920333333333333
female,Australian,0.2568666666666667,0.2637333333333334,0.1873,0.2920666666666667
