gender,nationality,mode,mean,std
female,African,Failure,0.15456666666666666,0.17542917909653402
female,African,Success,0.043466666666666674,0.11706263747468984
female,American,Failure,0.14556666666666668,0.1732591739565013
female,American,Success,0.03950000000000001,0.1210216404540691
female,Australian,Failure,0.14836666666666665,0.167802038035254
female,Australian,Success,0.041233333333333344,0.11745693961804471
female,Chinese,Failure,0.15033333333333335,0.16911501564698447
female,Chinese,Success,0.04440000000000001,0.11656729005329022
female,English,Failure,0.14456666666666665,0.16950689518109682
female,English,Success,0.038866666666666674,0.11804730454039629
female,European,Failure,0.14746666666666666,0.16981668915413795
female,European,Success,0.04046666666666668,0.11809149373202864
female,Filipino/Filipina,Failure,0.1547,0.1738264328649179
female,Filipino/Filipina,Success,0.046833333333333345,0.12291459996750913
female,Korean,Failure,0.1431,0.16804021854951043
female,Korean,Success,0.036966666666666675,0.11320416437420078
female,Latino/Latina,Failure,0.1461,0.16177254977137429
female,Latino/Latina,Success,0.04633333333333334,0.11977077698233424
female,Middle Eastern,Failure,0.15306666666666668,0.16643195066722774
female,Middle Eastern,Success,0.04370000000000001,0.11810931108320163
female,South Asian,Failure,0.1523,0.166320730169997
female,South Asian,Success,0.04606666666666668,0.12142077900481453
female,South East Asian,Failure,0.15616666666666668,0.17472665385523484
female,South East Asian,Success,0.046166666666666675,0.12004586173049697
female,Vietnamese,Failure,0.1536,0.17342421937613195
female,Vietnamese,Success,0.04626666666666667,0.11576152783478784
male,African,Failure,0.15473333333333333,0.1712874587761819
male,African,Success,0.05580000000000001,0.12093985348318856
male,American,Failure,0.15173333333333333,0.16774222406618772
male,American,Success,0.05133333333333334,0.12254637599614343
male,Australian,Failure,0.15533333333333335,0.1740263566193819
male,Australian,Success,0.052966666666666676,0.11938890760767826
male,Chinese,Failure,0.1507,0.1703876457750852
male,Chinese,Success,0.0541,0.12160928993293772
male,English,Failure,0.14946666666666666,0.16974222702184827
male,English,Success,0.049666666666666665,0.12086597606213975
male,European,Failure,0.15046666666666667,0.17272297562838004
male,European,Success,0.049400000000000006,0.1247350637166684
male,Filipino/Filipina,Failure,0.1549,0.17365534042327946
male,Filipino/Filipina,Success,0.050800000000000005,0.12236531740248144
male,Korean,Failure,0.15153333333333333,0.16588563037054682
male,Korean,Success,0.05276666666666667,0.1205617241082567
male,Latino/Latina,Failure,0.1555,0.17058648587704597
male,Latino/Latina,Success,0.05663333333333334,0.12418159734552661
male,Middle Eastern,Failure,0.15676666666666667,0.1711222417678301
male,Middle Eastern,Success,0.056400000000000006,0.12592549689888363
male,South Asian,Failure,0.15946666666666665,0.17140102077281247
male,South Asian,Success,0.0563,0.12611765224328372
male,South East Asian,Failure,0.15473333333333333,0.1724084621326305
male,South East Asian,Success,0.05603333333333334,0.12238679386791057
male,Vietnamese,Failure,0.15633333333333332,0.17016976244048884
male,Vietnamese,Success,0.056133333333333334,0.1254385573142984
