nationality,mean,std
African,0.10214166666666667,0.15758920826849512
American,0.09703333333333333,0.1568083424729474
Australian,0.09947500000000001,0.15600562758502806
Chinese,0.09988333333333334,0.15500325177967755
English,0.09564166666666667,0.15533038295983057
European,0.09695000000000001,0.157187109276712
Filipino/Filipina,0.10180833333333333,0.15927686857987072
Korean,0.09609166666666667,0.15294051326486496
Latino/Latina,0.10114166666666667,0.15394218100680918
Middle Eastern,0.10248333333333334,0.156257842950229
South Asian,0.10353333333333332,0.1569390766625976
South East Asian,0.103275,0.15840381155324354
Vietnamese,0.10308333333333333,0.1571445355708307
